Element,Sample,Actual_Mass_Balance_Error,Predicted_Mass_Balance_Error,Source
Ti,35,0.0005008401593673388,0.000497527976169397,TransalloySlag
P,35,0.00010567508754335602,3.7825163354250074e-05,TransalloySlag
Mn,36,0.018212050552090145,0.016773218187069852,TransalloySlag
Fe,36,0.004972763900080581,0.005641987904413188,TransalloySlag
Si,36,0.03636693954799872,0.03782649768435205,TransalloySlag
Ca,36,0.05698717843551945,0.03955138284398238,TransalloySlag
Al,36,0.1385744226732229,0.13065864396812105,TransalloySlag
Mg,36,0.016256567521163938,0.011074687439588941,TransalloySlag
C,36,0.0,0.0,TransalloySlag
O,36,0.008460899010786838,0.018131604739858753,TransalloySlag
K,36,0.0023408637309439892,0.002339090793953436,TransalloySlag
Ba,36,0.002445714911817303,0.002445714911817303,TransalloySlag
S,36,0.00024371761745613766,0.0003911014148287202,TransalloySlag
Ti,36,0.0005008401593673388,0.000497623461942954,TransalloySlag
P,36,0.00013801503960361435,2.6478314249416744e-06,TransalloySlag
Mn,37,0.01979429561406469,0.02009047017122967,TransalloySlag
Fe,37,0.004748357059718866,0.0045501664041456705,TransalloySlag
Si,37,0.030820228929881302,0.04004072329202546,TransalloySlag
Ca,37,0.028945635853302787,0.041535902719741,TransalloySlag
Al,37,0.09219163363558755,0.13798526523643437,TransalloySlag
Mg,37,0.01022488859777096,0.010174248397379897,TransalloySlag
C,37,0.0,0.0,TransalloySlag
O,37,0.0053256040891973555,0.028590939940994375,TransalloySlag
K,37,0.0023408637309439892,0.002338271319907876,TransalloySlag
Ba,37,0.002445714911817303,0.002445714911817303,TransalloySlag
S,37,0.00033359754884550305,0.0005210323422546964,TransalloySlag
Ti,37,0.0005008401593673388,0.0005008308911642197,TransalloySlag
P,37,0.00010567508754335602,6.7381130977935025e-06,TransalloySlag
Mn,38,0.02562161023561029,0.017483618345375554,TransalloySlag
Fe,38,0.007428382129107352,0.00884828543289462,TransalloySlag
Si,38,0.012991057610878043,0.024468321244701857,TransalloySlag
Ca,38,0.015921644013452863,0.013972354437566892,TransalloySlag
Al,38,0.11484499394433627,0.10601192235342895,TransalloySlag
Mg,38,0.018663123629181922,0.01235674223075308,TransalloySlag
C,38,0.0,0.0,TransalloySlag
O,38,0.03518168516655551,0.024002250421411575,TransalloySlag
K,38,0.0023408637309439892,0.0023408637309439892,TransalloySlag
Ba,38,0.002445714911817303,0.002226819934108318,TransalloySlag
S,38,0.0003678716795175754,0.0003124023706190463,TransalloySlag
Ti,38,0.0005008401593673388,0.0005008401593673388,TransalloySlag
P,38,0.00010567508754335602,0.00010567508754335602,TransalloySlag
Mn,39,0.011637099616826838,0.01565266799606478,TransalloySlag
Fe,39,0.006366102605425733,0.0062643895914857054,TransalloySlag
Si,39,0.04353063013967587,0.034463048737919166,TransalloySlag
Ca,39,0.022793956210523325,0.026475844371671747,TransalloySlag
Al,39,0.12871148604716437,0.12232249877224494,TransalloySlag
Mg,39,0.012274565556117938,0.012478588413915213,TransalloySlag
C,39,0.0,0.0,TransalloySlag
O,39,0.022725338236618486,0.02194221296204857,TransalloySlag
K,39,0.0023408637309439892,0.0023408637309439892,TransalloySlag
Ba,39,0.002445714911817303,0.0023892859994155357,TransalloySlag
S,39,0.0004380728334237036,0.00015984963401023173,TransalloySlag
Ti,39,0.0005008401593673388,0.0005008401593673388,TransalloySlag
P,39,0.00010567508754335602,2.934307078156451e-05,TransalloySlag
Mn,40,0.01268164201360894,0.014105222943753687,TransalloySlag
Fe,40,0.006959333870534516,0.0032572500950873344,TransalloySlag
Si,40,0.04736715830499033,0.04443349858770518,TransalloySlag
Ca,40,0.05393012514845549,0.03800926449002304,TransalloySlag
Al,40,0.1765950918079742,0.1473686031261171,TransalloySlag
Mg,40,0.022259115630055278,0.012305444714211272,TransalloySlag
C,40,0.0,0.0,TransalloySlag
O,40,0.048182851648670644,0.0309261859808605,TransalloySlag
K,40,0.0023408637309439892,0.002339586037196974,TransalloySlag
Ba,40,0.002445714911817303,0.002445714911817303,TransalloySlag
S,40,0.00041942321546019194,0.00027401714891978833,TransalloySlag
Ti,40,0.0005008401593673388,0.000497569619789138,TransalloySlag
P,40,0.00021278800389513307,7.37770510346746e-05,TransalloySlag
Mn,41,0.022596865078294157,0.015298792088033919,TransalloySlag
Fe,41,0.005827612140746711,0.0017744251510295184,TransalloySlag
Si,41,0.04629351710521225,0.04620833214692792,TransalloySlag
Ca,41,0.026931797836561577,0.040445814072621294,TransalloySlag
Al,41,0.1399572144691176,0.1520855191682604,TransalloySlag
Mg,41,0.0033163897738212184,0.01128696543202326,TransalloySlag
C,41,0.0,0.0,TransalloySlag
O,41,0.04287167552299831,0.0377593530142063,TransalloySlag
K,41,0.0023408637309439892,0.002337151809101648,TransalloySlag
Ba,41,0.002445714911817303,0.002445714911817303,TransalloySlag
S,41,0.00048304398577049914,0.00042246936652671146,TransalloySlag
Ti,41,0.0005008401593673388,0.0004988735714421028,TransalloySlag
P,41,8.04406681038854e-06,7.504259892564587e-05,TransalloySlag
Mn,42,0.01633138803028586,0.01389537374028374,TransalloySlag
Fe,42,0.0036056764258214713,0.007231570454632665,TransalloySlag
Si,42,0.02547010677280591,0.029154371261594175,TransalloySlag
Ca,42,0.011513461751079784,0.005444537854754933,TransalloySlag
Al,42,0.09287283031465168,0.1176023434733792,TransalloySlag
Mg,42,0.008283586903663126,0.012532574767423005,TransalloySlag
C,42,0.0,0.0,TransalloySlag
O,42,0.023138114903666906,0.04612205338503972,TransalloySlag
K,42,0.0023408637309439892,0.0023408637309439892,TransalloySlag
Ba,42,0.002445714911817303,0.0016432472011880818,TransalloySlag
S,42,0.00041000484652209743,0.00046505420773911547,TransalloySlag
Ti,42,0.0005008401593673388,0.0005008401593673388,TransalloySlag
P,42,0.00010567508754335602,8.343348282507534e-05,TransalloySlag
