,Mn,Fe,Si,Al,Ti,Ca,P,S,MnO,SiO2,CaO,Al2O3,MgO,TiO2,BaO,K2O,Source
0,30.667835039622,9.96260542490908,0.150092625687876,0.06537666656626774,0.0,0.0,0.0,0.008882156879751142,7.412500892948778,2.7041569231336977,22.040859113419444,32.30101713158988,1.0290358958977042,0.009081420103338594,0.30461286369413826,0.008178526373150419,Nchwaning 
1,32.49283681475748,10.156245310786256,0.14384605733631,0.0,0.0018200866773827545,0.0028880315447085705,0.0,0.011484184693558473,6.30112294150321,2.2999368165906984,19.62023779299805,31.554116012541527,1.0565112419514842,0.018477318809417657,0.6265972968072923,0.006187708235138856,Nchwaning 
2,28.23828947424555,9.928585436332499,0.2874483916042495,0.0,0.0002396113403424691,0.007707882362747725,0.0,0.034043534369955095,7.0798146963549575,1.7896412612036683,17.199103057346505,32.53133972042958,1.0764893030826637,0.015330805712005497,0.19055711330468666,0.005611189702881878,Nchwaning 
3,35.77470061477676,10.758518493198519,0.6326544206510059,0.15982978586094,0.0,0.0,0.0004358597140526633,0.018638002384703922,3.256274840055771,0.9860168636176441,18.179506334589384,32.20076403398276,1.0962043988023529,0.016684939976500213,0.37707223393926503,0.008446778333395464,Nchwaning 
4,35.303760332700264,10.487043084091392,0.4223089835749614,0.0,0.0,0.029117740727635476,0.00035717058421880454,0.011158398342083814,3.426589580175473,1.4324420513506004,20.97211590313116,33.20041735394851,1.0673953914206238,0.017280287418842733,0.5886692893424434,0.006894198055318276,Nchwaning 
5,35.0359394237743,9.786995376836533,0.5871506524387693,0.11010489383521185,0.0,0.0020733088636872236,0.0003744914452520265,0.02508582924597884,3.6390224663571784,1.4726226246717997,23.305186394834553,34.925101289502265,1.0643583956766016,0.020179924120926424,0.29401217808147223,0.00837012647131518,Nchwaning 
6,37.55792688263035,9.940099031433167,0.7501893025306475,0.0,0.0021650797189541778,0.0,0.0,0.08257934163827703,1.8619172905291286,1.0347180554064164,23.73537501764061,35.345537181168865,1.0024227012329967,0.02228081916700933,0.13907824492546023,0.008344898653082026,Nchwaning 
7,36.54864455340775,10.700867077026025,0.8205147439565604,0.1542794342537912,0.0,0.010038497067921854,0.00012054038702527678,0.022822324796957914,2.478912181796724,0.7739291954460578,18.913076284044802,33.054151933113424,1.1173457468746695,0.015605032116422092,0.4619695601915222,0.007825950420527762,Nchwaning 
8,36.48021891543223,10.316091963303053,0.6942069597199809,0.15857012648515612,0.0006234486496623551,0.016335264339656666,0.0,0.03335863714758716,2.2723052170485305,0.9435789761339407,21.1904947412402,33.82361990880349,1.0664907691081755,0.020216110684977456,0.5427117147406861,0.008733842268993952,Nchwaning 
9,36.31263091749762,10.62426700402985,1.0093418151959523,0.23537863710991966,0.0013321299588336221,0.02768650309347255,0.0,0.027701072568839556,1.6266528226826453,0.49458968251231283,19.670511446816693,34.092256506170756,1.166919987413358,0.011715695698504074,0.39711208858705377,0.006568660967467495,Nchwaning 
10,37.57669899433932,10.058540515857931,0.7998966365345547,0.1311846930597412,0.00022675812703215275,0.004330574698818571,5.886908906776409e-05,0.03445762670134507,1.2851924179008887,0.6943156764183264,24.937836395666814,35.80964687567846,1.0120266230559776,0.018576676053951996,0.5817958794771118,0.0082405343766278,Nchwaning 
11,37.53706281402247,9.771941634747323,1.0399427301371944,0.08357929603414724,0.0,0.0,0.00020919325174914547,0.01995854098867289,1.2681773738288311,0.470983133110469,21.09369485290579,35.65583143884456,1.0759515705175937,0.03827010598316742,0.721816822781563,0.00933746679944058,Nchwaning 
12,35.808250745546175,10.57521494597989,0.9587614867083657,0.8207777667983579,4.931576217832534e-05,0.043890036587733,0.0,0.03668884505168497,2.0552567663282866,0.5065928622932933,20.540135224446495,34.3010715985585,1.1985707809859447,0.003782778610050937,0.34948783624504703,0.00712599906477852,Nchwaning 
13,37.8156517464894,9.424176819326101,1.2253541627324542,0.28882611770322786,3.0494473246851964e-05,0.0004697510150273172,1.1837717469217e-05,0.006342085883056855,1.1906933384399216,0.4633555841810196,22.366960142113278,36.20449490315081,0.9946219816157168,0.03386808101284096,0.3391789288383919,0.005900094929915116,Nchwaning 
14,38.04166210182802,9.675416963094719,1.0338672949758057,0.26829086305023553,0.0,0.0,2.3405373511993585e-06,0.0,1.1532791151348816,0.35337480391440906,25.569705230771273,36.79337309136979,0.9359248394274946,0.022642162205102286,0.8566293015286354,0.006293247241915523,Nchwaning 
15,41.151262972311144,2.6392365066420496,1.7055216740473522,0.15959315610629027,0.0352400522487704,0.0031636338218787676,1.106032786865192e-06,0.02031924744922772,1.406265852211764,0.741729067925635,25.872458495613685,40.62631599805423,0.2661554,0.027101968147190153,8.257059899204545,0.0,Zambian
16,39.76749953550522,3.1298398065406916,1.8819902038517953,0.439377340734972,0.037923416358971306,0.010505075992366561,0.0,0.020489071419593562,0.9938844057744876,0.30471489139400865,27.02398199280422,42.52002036565093,0.28866693034429186,0.009428281325362858,8.176986990279401,0.0,Zambian
17,40.876123244304004,3.4030974872246937,1.8395025589393952,0.6387235171091105,0.036270676654025724,0.007519612619109444,0.0,0.02223014627941271,0.6244878066672513,0.21399721862440174,27.94841955027822,42.78051499997628,0.2961952844953234,0.002214593154593615,8.351312954245278,0.0004280441693128086,Zambian
18,41.95606751487074,1.9992830519781888,1.5499979945113855,0.0,0.03239549692788737,0.0,0.00015600223160358592,0.01811432363591902,1.8080607948579528,1.14795883364859,24.97818918382591,38.657722553583184,0.2661554,0.041298913912187624,8.292400503667324,4.7677287627807054e-05,Zambian
