Element,Moles
Mn,0.7767759326544676
Fe,0.13806070373354823
Si,0.03694808793644929
Ca,0.4417555022165792
Al,0.525987977010157
Mg,0.021957900378122487
C,0.0
O,1.3364778960975094
K,0.0002707121321499851
Ba,0.002206034850459207
S,0.0022950619010981325
Ti,0.00013147054183392643
P,0.00032759277138440365
